Date,Price,Open_1,High_1,Low_1
"Feb 06, 2018",7701.2,8220.8,8383.2,6651.9
"Feb 07, 2018",7594.7,6939.3,7896.2,5996.6
"Feb 08, 2018",8164.2,7693.8,8536.5,7196.6
"Feb 09, 2018",8699.8,7595.1,8489.9,7595.1
"Feb 10, 2018",8559.6,8163.6,8735.6,7784.6
"Feb 11, 2018",8081.9,8697.3,9066.6,8172.2
"Feb 12, 2018",8903.5,8559.7,8564.2,7843.7
"Feb 13, 2018",8539.2,8083.6,8984.9,8083.6
"Feb 14, 2018",9476.3,8906.2,8942.7,8378
"Feb 15, 2018",10037.3,8542.6,9500,8541.6
"Feb 16, 2018",10178.7,9475.6,10206.8,9348.5
"Feb 17, 2018",11073.5,10031.3,10294.3,9707.7
"Feb 18, 2018",10398.8,10177.3,11095.9,10070.9
"Feb 19, 2018",11169.4,11073.7,11271.6,10137.2
"Feb 20, 2018",11238.7,10396.6,11250.5,10324.8
"Feb 21, 2018",10473,11169.7,11791.5,11119.9
"Feb 22, 2018",9841.7,11240.9,11289.7,10252.2
"Feb 23, 2018",10170.4,10470.1,10930.2,9743.9
"Feb 24, 2018",9704.3,9840.6,10419.1,9597.8
"Feb 25, 2018",9585.2,10163.8,10506.1,9394.5
"Feb 26, 2018",10285.1,9703.1,9860.3,9330.1
"Feb 27, 2018",10594.4,9590.9,10378.4,9410.3
"Feb 28, 2018",10333.9,10287.8,10867.2,10120.5
"Mar 01, 2018",10904.5,10584.4,11070.7,10303.4
"Mar 02, 2018",10827.7,10335.1,11047.8,10248.7
"Mar 03, 2018",11402.3,10904.5,11167,10677.1
"Mar 04, 2018",11416.5,10822.5,11420.7,9585.5
"Mar 05, 2018",11330.6,11402.8,11490.3,10878.4
"Mar 06, 2018",10675.1,11415.7,11506.9,11281.2
"Mar 07, 2018",9902.9,11314.2,11316.4,10412
"Mar 08, 2018",9300,10779,10899,9422.1
"Mar 09, 2018",9217,9910.7,10109,9037
"Mar 10, 2018",8762,9301.9,9420.5,8351
"Mar 11, 2018",9529.6,9216.2,9500,8691.1
"Mar 12, 2018",9137.4,8732.2,9719.6,8516.4
"Mar 13, 2018",9154.9,9535.8,9892.2,8804.1
"Mar 14, 2018",8210.6,9138.7,9482,8875.1
"Mar 15, 2018",8264.4,9154.9,9353.4,7958.5
"Mar 16, 2018",8289.2,8210.2,8427,7691.7
